Subject_ID,inclusion_tier,total_frames,valid_frames,spike_rate_pct,peak_flexion_deg,peak_extension_deg,rom_deg,peak_flexion_frame,mean_smoothed_angle_deg,descent_frames,ascent_frames,tempo_ratio,total_rep_frames,peak_descent_velocity_deg_per_frame,peak_ascent_velocity_deg_per_frame,mean_descent_velocity_deg_per_frame,mean_ascent_velocity_deg_per_frame,jerk_proxy_std,peak_flexion_valid,exercise_variant_partial,phase_identification_status,depth_truncated,partial_depth_real
1679,gold,67,64,6.25,86.9222,177.9679,91.0457,35,138.5582,32,31,0.9688,63,-5.4211,8.9762,-2.5796,2.7982,1.4852,True,False,ok,False,False
1682,bronze,89,66,6.06,121.6259,179.1797,57.5538,49,142.9471,44,39,0.8864,83,-6.6702,4.5499,-1.8443,1.1249,1.3241,False,False,ok,True,False
1713,gold,94,94,0.0,38.9763,179.7593,140.783,47,109.0096,47,46,0.9787,93,-4.9629,6.4565,-2.9674,3.0314,0.8415,True,False,ok,False,False
1718,gold,104,104,0.0,67.1065,174.4623,107.3558,54,123.3616,54,49,0.9074,103,-5.1197,5.6551,-1.9522,2.1909,1.0227,True,False,ok,False,False
1774,bronze,96,72,2.78,122.9954,178.0457,55.0503,50,150.1413,48,41,0.8542,89,-3.8892,8.5595,-1.1275,1.3174,1.3402,True,True,ok,False,True
1799,gold,92,92,4.35,86.1291,177.7902,91.6611,44,129.8752,44,47,1.0682,91,-5.8443,8.6839,-2.0832,1.9458,1.6111,True,False,ok,False,False
1818,gold,55,49,0.0,86.136,177.6607,91.5247,28,141.7207,28,26,0.9286,54,-5.9156,6.8999,-3.2995,3.0338,1.1196,True,False,ok,False,False
1823,gold,117,108,2.78,93.034,177.425,84.391,53,134.9442,53,63,1.1887,116,-10.5708,4.507,-2.3704,1.2919,1.5507,True,False,ok,False,False
1863,gold,104,104,7.69,38.6862,178.9143,140.2281,34,112.689,34,69,2.0294,103,-12.3771,13.3035,-4.1244,1.8806,3.0826,True,False,ok,False,False
1884,gold,110,107,0.93,46.8215,179.93,133.1085,40,118.9299,40,69,1.725,109,-6.1451,4.6543,-3.1728,2.0322,0.8449,True,False,ok,False,False
